County,Democratic,Republican,Green,Constitution,Libertarian,Unaffiliated,White,Black,American,Other,Hispanic,Male,Female,Total
,,,,,,,,,Indian,,,,,
ALAMANCE,"36,195","32,727",15,33,543,"30,602","69,094","20,610",249,"10,162","3,691","43,021","52,968","100,115"
ALEXANDER,"5,353","10,630",0,11,87,"7,238","21,273",912,35,"1,099",293,"10,928","11,815","23,319"
ALLEGHANY,"2,252","2,614",1,0,32,"2,126","6,562",71,6,386,160,"3,266","3,555","7,025"
ANSON,"10,079","2,371",5,25,27,"3,206","6,537","6,709",27,"2,440",74,"6,089","7,434","15,713"
ASHE,"4,593","7,861",2,3,74,"5,422","17,183",99,21,652,189,"8,315","9,338","17,955"
AVERY,"1,329","6,623",2,1,51,"3,347","10,737",75,18,523,86,"5,255","5,849","11,353"
BEAUFORT,"11,947","10,837",7,8,98,"9,150","22,467","7,634",42,"1,904",424,"14,063","16,682","32,047"
BERTIE,"8,679","1,403",2,1,26,"2,568","4,537","7,582",17,543,34,"5,436","6,865","12,679"
BLADEN,"11,025","4,146",1,5,48,"6,352","12,457","7,795",379,946,378,"9,727","11,552","21,577"
BRUNSWICK,"25,702","39,717",17,25,443,"37,174","87,011","8,410",309,"7,348","1,247","45,669","52,762","103,078"
BUNCOMBE,"72,547","44,099",142,54,"1,492","73,044","163,670","10,392",368,"16,948","3,645","84,053","99,545","191,378"
BURKE,"15,545","19,852",13,24,272,"17,793","46,871","3,166",79,"3,383",886,"24,635","27,795","53,499"
CABARRUS,"40,599","48,153",46,67,886,"45,729","93,537","25,315",341,"16,287","5,007","58,990","69,875","135,480"
CALDWELL,"11,616","23,548",23,17,348,"14,843","45,335","2,637",63,"2,360",809,"23,533","25,980","50,395"
CAMDEN,"1,846","2,486",1,3,56,"3,084","6,132",950,10,384,34,"3,540","3,764","7,476"
CARTERET,"10,661","22,346",5,6,231,"17,651","45,349","2,415",99,"3,037",495,"22,806","25,991","50,900"
CASWELL,"6,886","3,260",2,5,34,"4,228","8,905","4,770",18,722,142,"6,475","7,537","14,415"
CATAWBA,"22,512","43,176",13,33,449,"33,813","81,943","8,822",119,"9,112","3,054","45,367","51,617","99,996"
CHATHAM,"20,015","12,851",18,18,265,"19,693","40,432","5,948",111,"6,369","1,582","22,527","26,602","52,860"
CHEROKEE,"4,326","9,683",7,6,127,"6,868","20,117",214,119,567,158,"9,935","11,017","21,017"
CHOWAN,"4,207","2,612",2,1,27,"2,845","6,341","2,921",10,422,54,"4,243","5,291","9,694"
CLAY,"1,638","3,715",2,4,54,"3,044","8,078",44,14,321,55,"3,920","4,350","8,457"
CLEVELAND,"23,145","21,040",8,19,273,"17,211","45,012","13,205",80,"3,399",615,"27,382","32,453","61,696"
COLUMBUS,"17,210","7,633",3,9,68,"9,412","21,496","10,556",920,"1,363",290,"15,352","18,428","34,335"
CRAVEN,"21,245","24,160",23,21,392,"21,609","47,789","14,380",156,"5,125","1,543","29,698","35,889","67,450"
CUMBERLAND,"91,070","46,608",44,97,"1,277","65,569","87,435","84,320","2,214","30,696","11,710","84,396","106,475","204,665"
CURRITUCK,"3,560","7,673",9,8,168,"8,210","17,595","1,040",46,947,143,"9,307","9,864","19,628"
DARE,"7,948","9,293",7,7,218,"11,461","27,024",558,34,"1,318",245,"13,488","14,857","28,934"
DAVIDSON,"23,332","49,460",17,35,472,"31,032","86,848","9,964",239,"7,297","1,966","47,139","53,929","104,348"
DAVIE,"4,922","14,802",6,11,128,"8,983","24,928","1,825",34,"2,065",501,"13,168","14,772","28,852"
DUPLIN,"12,391","7,979",2,13,104,"7,949","17,566","8,254",49,"2,569","1,498","12,364","14,967","28,438"
DURHAM,"120,912","25,685",101,50,"1,121","73,829","107,274","77,714",560,"36,150","8,722","91,507","116,354","221,698"
EDGECOMBE,"23,047","5,662",5,11,78,"5,029","11,972","20,457",72,"1,331",382,"14,343","18,893","33,832"
FORSYTH,"100,293","72,487",74,85,"1,359","77,197","157,071","67,506",496,"26,422","9,788","107,276","132,639","251,495"
FRANKLIN,"16,464","13,163",9,23,227,"12,617","27,802","10,713",128,"3,860","1,013","18,704","21,491","42,503"
GASTON,"40,421","52,560",26,65,790,"42,555","100,870","23,117",324,"12,106","3,634","59,556","71,305","136,417"
GATES,"3,842","1,698",0,1,28,"2,192","4,815","2,546",14,386,40,"3,482","3,971","7,761"
GRAHAM,"1,502","2,633",0,1,26,"1,532","5,307",3,267,117,20,"2,717","2,915","5,694"
GRANVILLE,"17,209","9,205",7,8,151,"10,397","22,397","11,741",75,"2,764",740,"15,871","18,879","36,977"
GREENE,"5,762","2,128",1,3,19,"2,961","6,136","3,996",10,732,409,"4,848","5,822","10,874"
GUILFORD,"157,649","89,551",105,112,"1,984","106,316","193,732","122,438",952,"38,595","9,972","152,720","192,799","355,717"
HALIFAX,"22,797","4,377",7,3,89,"8,442","13,939","19,092","1,046","1,638",243,"15,509","19,410","35,715"
